min,max,mean,median,sd,sum,count,id
2.2995937,7.3403115,4.815300756568008,4.78086,0.5699247013207362,14479.609,3007,0
3.146646,14.086299,4.832259514534012,4.324158668518066,1.521088896368581,32250.5,6674,1
0.0,39.857597,9.504131933258162,10.044178009033203,5.778456791322961,44251.24,4656,2
1.6695528,10.359403,3.0282639580960518,2.7008416652679443,1.0163338210772261,7976.4473,2634,3
0.0,46.829193,8.847533329118903,9.454495,6.803388537675313,39362.676,4449,4
1.833651,10.851834,3.625503356828902,3.1987709999084473,1.1974265374596718,16909.348,4664,5
1.4868033,21.509478,3.062787809705179,2.3894424438476562,2.9574158461486304,7362.942,2404,6
4.150217,40.073635,8.525888895156438,7.8453717,3.8580926908354805,21255.041,2493,7
1.6122848,8.705515,4.087123779017004,3.6628718,1.2111687596711034,10696.003,2617,8
1.6020324,10.703335,4.0376827550040435,3.5976204872131348,1.123518841197241,19970.379,4946,9
2.2409284,6.763893,3.5745915277266027,3.4188788,0.6169324031276793,14552.162,4071,10
1.9504285,8.582662,4.216073121488764,3.874774217605591,1.0111264303616854,18761.525,4450,11
0.0,17.109066,9.120317963286713,9.596138000488281,2.3186612985691513,26084.11,2860,12
1.949181,21.135397,7.990831213382671,9.327815,4.549579361280903,25914.266,3243,13
1.7411252,13.571595,3.546243117963658,3.176591,1.756781617896348,17954.629,5063,14
2.2490706,13.717502,5.37054900085034,4.696265,1.7971643423316985,22894.65,4263,15
1.9965924,9.884969,3.19787487566313,2.8176544,1.0228092414567969,18083.982,5655,16
3.0742767,8.0070305,4.397552339901478,4.270844459533691,0.5777218507344252,19639.469,4466,17
1.8033528,7.285284,2.6822805197246646,2.4377599,0.6659319241926718,17389.225,6483,18
3.9761891,12.829939,6.004571820758059,5.644303,1.2513715229541302,16950.906,2823,19
2.5861127,28.470055,4.763204797400611,3.5924158,3.4267875116074764,23363.52,4905,20
2.5454926,24.013073,4.226161228190171,3.6098404,1.9792276922158016,20467.299,4843,21
3.1604893,9.709429,4.500149151686176,4.034162521362305,1.0857000949896816,16146.535,3588,22
2.6322882,11.242132,5.489418611947791,5.198667526245117,1.087197597546491,21869.844,3984,23
2.875293,10.783714,4.911467888486712,4.6924744,1.130097426228835,12381.811,2521,24
3.040097,11.148661,5.24074263502455,4.782591819763184,1.3813531155615666,19212.562,3666,25
2.0039706,8.031179,3.8449728818077427,3.639591932296753,0.8742755272725146,14649.347,3810,26
1.8273324,6.7981105,2.452253126133684,2.2753592,0.5478558429070172,13519.271,5513,27
3.856279,22.863333,6.214483155576587,5.472089767456055,2.3809156070157367,21340.535,3434,28
1.7362995,9.913501,3.173912591076465,2.8170552253723145,0.9846799329568026,20255.91,6382,29
2.2033477,7.808001,3.7802847272398843,3.4441886,0.9300523433609001,15041.753,3979,30
2.7040372,11.082484,4.2676404163962545,3.8379095,1.071573131898724,23015.385,5393,31
3.409005,33.385612,6.615344410211268,5.0212326,3.853851030879108,17378.51,2627,32
1.7257521,22.361,4.000661817365406,2.9947128295898438,3.1555515321929404,21995.639,5498,33
3.9146628,11.709757,5.326251989038189,4.936882,1.1200775435826913,18828.3,3535,34
1.8625015,9.620659,3.8242150250317866,3.3991451,1.2358931885141722,18046.47,4719,35
2.9540052,6.6951237,3.966485333588957,3.7990396,0.605945714380208,18749.576,4727,36
0.7318047,8.428903,1.584602657245223,1.1944585,1.0734223171817074,8707.392,5495,37
2.599421,59.283512,13.985379049389273,9.644698,10.674827556213494,79003.41,5649,38
2.800204,17.587305,5.94510982452877,5.5765061378479,1.744934697861026,14981.677,2520,39
2.9535472,7.0835795,3.8923065625738946,3.680316,0.6031608040051382,16460.564,4229,40
2.0782442,31.247845,7.571705771579804,5.173978328704834,5.188545382309749,27894.164,3684,41
1.8382286,13.639847,3.278924830709095,2.8703732,1.1386845151711575,14889.598,4541,42
2.8267565,9.93661,5.776284314076835,5.680062294006348,0.8123888639826511,20147.68,3488,43
2.1065364,15.048844,5.185616039251019,4.6393857,2.0656640446043886,16547.3,3191,44
1.6659296,9.054542,3.2942678809191097,3.189189,0.8105469590786335,15618.124,4741,45
2.6223075,7.8003135,3.581124774069829,3.445026,0.5133508719681198,20308.559,5671,46
2.9229891,14.592779,4.296345850045406,3.8929443,1.2083724530064044,28385.957,6607,47
2.382886,7.78061,4.580185813994185,4.354835,0.8138388558949302,21265.803,4643,48
2.5908918,16.961586,6.608068916143468,5.8652554,2.9910789580556996,24734.002,3743,49
3.7309592,17.221151,5.577656467233316,5.149443626403809,1.5450584402808012,11032.6045,1978,50
0.9714639,22.588362,4.928246308891838,4.254822731018066,2.360369347206618,29707.469,6028,51
0.8404782,5.7830143,2.3298440904139435,2.215789794921875,0.6085835274870083,12832.781,5508,52
2.98341,15.324887,4.225503336458666,3.8271870613098145,1.2283763475880762,26477.004,6266,53
1.8221138,7.2111373,3.1313220470935317,3.0419845581054688,0.6628133187865,21493.395,6864,54
3.0984147,11.214803,4.364888466436919,4.1021357,0.9452032827089933,14565.633,3337,55
1.0785285,13.66939,4.328938295041537,3.8678157329559326,1.6022041685902522,16675.07,3852,56
