min,max,mean,median,sd,sum,count,id
1.5630246,81.52461,19.13119331624606,15.322119,13.771371210132719,30322.941,1585,0
0.1368893,23.957935,1.1514704088399172,0.5554482936859131,1.7334573135927698,34511.87,29972,1
0.05857022,4.808836,0.27484502578692016,0.12928903102874756,0.41784903632005993,27871.484,101408,2
0.15777196,8.875458,0.8523454363440878,0.5649322,0.807833319789945,52123.48,61153,3
0.07577358,7.650599,0.40168648663159023,0.17209242284297943,0.5807002136808199,37409.062,93130,4
0.14334574,21.3022,0.8974330057479792,0.46548330783843994,1.4634271217734904,63505.95,70764,5
0.7612843,10.576436,2.361868451377617,1.9409434,1.1548937304694467,56748.613,24027,6
1.0619141,7.3259525,2.3601168996755746,2.123972177505493,0.8168680408439611,42921.086,18186,7
1.0736296,8.024202,2.4267464068812004,2.3309953,0.5899969876176012,88306.875,36389,8
0.6893332,8.329982,2.2851365802421215,2.1103218,0.8874251239717824,54457.09,23831,9
1.2897063,5.02736,2.2174033527289905,2.1438663,0.4038281861440875,51636.67,23287,10
0.960656,6.3619194,1.7135095260453932,1.4794838428497314,0.5804571321210229,43108.473,25158,11
0.6689182,8.693538,2.1983829582391183,1.9147834777832031,1.0602736446340686,46667.273,21228,12
0.3477452,4.459435,0.9911448109122402,0.8914812803268433,0.436342141618783,42916.57,43300,13
0.7780951,6.1822667,1.835682998235991,1.6770532131195068,0.5318435536192914,35641.62,19416,14
0.82118404,4.3761206,1.6483201802640488,1.5735931,0.4046520978590722,60864.223,36925,15
0.15865019,3.996036,0.6399656756822375,0.5308401584625244,0.3995819735284943,52717.812,82376,16
0.51264447,18.931328,1.4936944296873176,1.2798096,0.7971714675643775,63964.477,42823,17
1.0317295,34.145943,5.04776859253876,3.346024,5.064234396904969,16279.054,3225,18
0.5005568,6.738706,1.6172994060308679,1.3580958,0.7364674585070022,45897.34,28379,19
0.24391547,5.6654997,1.0535625695224415,0.86284339427948,0.6212025112016932,48777.84,46298,20
0.43794158,42.032925,1.831717386539973,1.3063719,1.8473415635955408,90891.65,49621,21
0.60874116,6.634639,1.8426257573122964,1.618997,0.8121803349049566,50335.008,27317,22
0.82796687,11.055459,1.9028950576241135,1.56837797164917,0.905952531643295,56344.723,29610,23
0.5744935,10.7638235,1.7609240017117334,1.4822304,0.9022463071587428,65839.19,37389,24
0.4061883,18.979572,1.6078771591982945,1.2828053,1.3348835456334625,73163.234,45503,25
0.5043645,8.148487,1.4594098040488364,1.235592007637024,0.7100207924811113,54806.676,37554,26
0.5600125,10.364292,2.2164211662767266,2.1302664279937744,0.8614902092260128,64892.38,29278,27
5.5625825,166.1084,42.090314084283904,32.003468,36.7153720956605,33209.258,789,28
33.78705,168.3685,111.78695686397985,129.01637,45.90007646133952,44379.42,397,29
2.2423909,12.472899,4.773984866880375,4.489597797393799,1.086525014676963,62176.38,13024,30
2.9160953,14.278546,6.3461551056143835,5.6423187,2.066378667568596,28767.121,4533,31
1.0332564,89.92704,10.404894970507028,6.037309646606445,11.897858986169135,41453.1,3984,32
1.6774856,36.215218,5.41420041034376,4.454157829284668,3.089189767352749,34964.906,6458,33
0.49134657,68.59452,4.461003561580882,2.2999041080474854,7.055180217698062,48535.72,10880,34
3.474369,144.72649,10.101169541128248,5.7464457,11.710158719836974,72698.12,7197,35
4.6548424,122.73001,45.60178824819401,42.564293,29.02471778822476,44188.133,969,36
0.42508164,32.412086,1.85931126437479,1.1668094,1.9554316758613026,49797.934,26783,37
1.0045456,35.160324,3.7715799414966837,3.6265807151794434,1.6569350102701625,60277.39,15982,38
0.37740335,4.87663,1.2624665147306005,0.94317603,0.7891861805715645,40559.26,32127,39
1.2160425,79.37662,4.955958172821466,3.7895560264587402,4.725628518204741,65289.793,13174,40
0.16289748,7.8746066,0.9098926105192651,0.65167147,0.7213696155997662,32092.822,35271,41
0.15372081,4.254181,0.49018490050036895,0.4109857,0.3314527881570272,32548.768,66401,42
0.10318568,3.616047,0.42068305445206133,0.25287342071533203,0.3925220338984999,22000.041,52296,43
0.17937073,4.917047,0.9711672864430463,0.8064901828765869,0.6329932394258803,31102.604,32026,44
0.1426722,7.206683,0.9329399272252223,0.67670864,0.7398067639813496,34724.957,37221,45
0.15486741,4.9217925,0.7509153182641634,0.3833387494087219,0.7417220634265834,11398.895,15180,46
1.978222,11.760126,4.123738591990556,3.6795616,1.4499097105655698,34057.957,8259,47
2.4738538,13.211273,5.5800045082138094,4.754602909088135,2.1301616862902026,33457.707,5996,48
1.713844,9.946725,3.535818614130435,3.2092018127441406,1.2068740882500566,33342.77,9430,49
2.322958,12.981558,3.8704939947545824,3.1425364,1.7715952883367856,25549.13,6601,50
2.5056722,7.130343,3.979941437523094,3.7078028,0.7178830873734502,32313.145,8119,51
1.4302922,11.576613,3.7182990665297653,3.589598,0.9523390820950205,21049.291,5661,52
1.4929699,10.739677,3.5580817926045016,3.1413236,1.3503013272279003,27664.086,7775,53
1.5569444,9.210466,4.18506679652962,4.145452976226807,0.9768120662272477,47333.105,11310,54
0.24059255,6.5242796,1.5608843673630566,1.548659,0.9752699459318999,26186.957,16777,55
1.8719631,36.38581,4.483639593520782,3.6310987,2.698998028499425,38509.98,8589,56
0.20143205,7.182674,1.087576665215129,0.6604940891265869,0.9463672124238156,48077.414,44206,57
0.3425742,10.752828,3.3589087933814494,3.514326333999634,1.6882095906698036,54683.035,16280,58
0.2056707,5.73125,0.9285415656378366,0.6258062720298767,0.7702677327229053,32550.953,35056,59
0.19278201,7.1016207,0.8456709449857126,0.5174741744995117,0.7079511776681996,27819.191,32896,60
0.45938712,8.124304,1.6758666846228578,1.3988873958587646,0.9730655719746623,33637.996,20072,61
0.5407688,5.644388,1.8336933853769186,1.569846510887146,0.7526059185400148,43249.492,23586,62
1.1480227,16.802551,3.8020383152368025,3.2785454,1.7079073300234238,53224.734,13999,63
1.3227355,9.541819,4.585951595461695,4.396210193634033,0.8196239427194744,49564.965,10808,64
2.3755212,6.7741055,3.4657305113402592,3.3594765663146973,0.6255619033782726,33693.832,9722,65
6.4554043,70.8015,35.32928025265957,34.7469367980957,17.447608004929208,33209.523,940,66
2.1359518,10.410969,4.012674958613765,3.676823377609253,0.9806579644277867,36964.76,9212,67
1.6633788,19.976114,3.920873054890561,3.512951612472534,1.5545657486903417,45858.53,11696,68
0.88168645,10.914106,2.3812981828193833,2.261566162109375,1.0488599787824222,40001.047,16798,69
1.0303863,6.172854,3.007200859610671,2.9228663444519043,0.7763923145404782,31900.387,10608,70
1.9951227,19.807634,4.009814106273446,3.6012676,1.4299658152100492,50238.96,12529,71
1.8547325,50.276447,4.892577798517858,4.2705374,2.66274229603743,87807.09,17947,72
1.4515471,5.540926,2.6749258224078063,2.645066976547241,0.6198326264562188,22340.98,8352,73
1.8692025,38.590797,4.251156722203428,3.530442714691162,2.501266727899486,75398.516,17736,74
--,--,--,--,--,--,0,75
2.7579985,12.170763,4.413231884726321,3.9978837966918945,1.3834857689003568,32896.23,7454,76
2.3702602,10.636206,4.319506401457781,4.1522913,0.7746971802511088,57039.082,13205,77
1.3480235,6.491033,2.913879136998945,2.872100830078125,0.5733664158621097,44197.72,15168,78
