min,max,mean,median,sd,sum,count,id
81.78261,460.58987,371.87252155172416,386.54638671875,64.48144559345408,323529.1,870,0
0.38007638,107.870285,15.67088684951939,9.600453,16.348392221492887,236395.33,15085,1
94.75371,400.99323,243.26971418732782,247.7648,28.796382221558844,264920.72,1089,2
0.9436222,180.51663,26.93368625898806,17.384396,24.743385095019214,408287.75,15159,3
2.2195234,341.1096,92.276405167821,74.01063537597656,64.9604952996377,346405.62,3754,4
42.06978,225.88533,164.63621043376318,163.98153686523438,16.45769303486488,280869.38,1706,5
2.394098,428.38055,72.84832669578623,63.096012115478516,45.60238556606054,567051.4,7784,6
64.06233,389.20068,202.76356812933025,214.82297,45.804561804294686,263389.88,1299,7
1.9000052,231.99886,60.45685772681233,61.88956,31.859452974540737,417817.34,6911,8
1.2242262,272.59485,45.06917941262705,34.58757781982422,36.51671514864373,461147.84,10232,9
0.10775331,7.3879156,0.284630070414608,0.17051991820335388,0.3014151249978722,46778.383,164348,10
0.060833048,3.0015545,0.16403280527882996,0.12108365,0.17536648698157847,31482.324,191927,11
0.03590142,7.994712,0.44402339824940296,0.2662425637245178,0.5276824973729108,68051.914,153262,12
0.04298898,6.743562,0.3124288179451278,0.24672138690948486,0.29411104105052566,122279.016,391382,13
0.03212419,6.868423,0.11993754685151012,0.06030417,0.21962252210884334,87678.305,731033,14
0.010810932,1.5266991,0.05327939358255702,0.03447908163070679,0.08375728528664833,74270.516,1393982,15
0.02310953,1.7596169,0.06719260620915032,0.05134999006986618,0.05435828916120371,41121.875,612000,16
0.034688942,5.4111195,0.18562019707486366,0.13671138882637024,0.18498099932744252,74879.19,403400,17
0.055238035,16.911606,0.3491994879738983,0.22062145,0.6488854862037013,50945.062,145891,18
0.0063323504,2.999289,0.032284755136113945,0.012083686,0.11855479253775997,28263.463,875443,19
0.016425604,7.5616035,0.1230834355101133,0.052828241139650345,0.38200518275941453,105152.64,854320,20
0.007077561,0.7443793,0.02545873483760505,0.013164404779672623,0.05099381648463199,13765.232,540688,21
0.061763864,3.2482097,0.2873616232965022,0.1986668,0.2411808944780169,103638.41,360655,22
0.041673996,3.1603894,0.15827092657760408,0.10979656875133514,0.16211192906721977,46695.62,295036,23
0.18602324,11.954959,1.0651364547831708,0.7339584231376648,1.0475523300898397,72505.97,68072,24
0.07109101,1.369969,0.2036718353452093,0.18263891339302063,0.10257952203828613,37718.395,185192,25
0.041628268,8.992532,0.18369012124383333,0.11514514684677124,0.28438766451703457,85043.38,462972,26
0.12787679,1.7511979,0.42071267848151345,0.3677786588668823,0.21059961663795654,29243.738,69510,27
0.09071258,6.365389,0.3190175577775117,0.22193159,0.34543099994363413,39961.734,125265,28
0.06774834,3.0179305,0.353034811010427,0.2691957950592041,0.2663217688999416,42660.727,120840,29
0.072920226,1.5405003,0.18661300972986963,0.14678141,0.12735997497025267,27757.379,148743,30
0.014027663,0.73959935,0.040933709922686565,0.030886488,0.0323779792866846,42033.15,1026859,31
0.04695945,0.88235337,0.12907820756395252,0.11976121,0.05056005800864917,46437.047,359759,32
0.22030929,2.1737998,0.44263540130489176,0.38177025,0.19541886863162705,63330.945,143077,33
0.14579634,1.9302642,0.4855401100827756,0.45033246,0.18708057479994342,66810.805,137601,34
0.06738595,3.6849625,0.20741305292042828,0.13151546,0.26811178025924853,90911.01,438309,35
0.116318956,3.3643224,0.309542082004899,0.25951719284057617,0.18479811155332446,63690.14,205756,36
0.15615824,10.955874,0.9284626677651718,0.6115659475326538,0.943623744401269,48528.887,52268,37
0.186762,4.636816,0.4579435251302513,0.35388115,0.3097676908889739,56868.8,124183,38
0.12836154,3.1092303,0.31853355643141795,0.24941608309745789,0.22719551004570698,47318.797,148552,39
0.09147313,9.579352,0.27760997725229014,0.18417257070541382,0.38997041959212525,42911.84,154576,40
0.026636768,6.714767,0.3128348584397281,0.23521256,0.28404021463113355,50941.09,162837,41
0.09695644,37.886528,2.0549399563318778,1.6713109016418457,2.038784586061087,258819.69,125950,42
0.4726384,69.11404,2.4858101911099735,1.583977,3.7184459630359545,145680.9,58605,43
0.44450426,81.84824,1.949914892483304,1.3242383,3.789282381868859,205842.77,105565,44
0.7093295,40.430264,2.038803558093223,1.4509214,2.025449667154301,163807.67,80345,45
0.71050173,79.37873,3.0125290735851142,1.7306308,4.5318886640520475,108960.164,36169,46
0.024594015,45.695206,1.0429932566667148,0.8246010541915894,1.656622256149907,289272.1,277348,47
0.009113392,5.289049,0.26793211643574344,0.13702565,0.31517739201772865,102548.07,382739,48
0.1705206,11.253789,1.2311906261870522,0.8705729246139526,1.0980239829804581,45376.76,36856,49
7.861025,516.99066,287.83234175662415,339.77792,159.44143267421515,293301.16,1019,50
0.26827514,103.03585,1.7164456534020596,1.314146637916565,2.352776280015635,319015.16,185858,51
0.11853915,20.59017,1.0461217225241446,0.58316875,1.2895948888549034,158036.56,151069,52
0.15017192,15.583764,0.9499744411576804,0.8818008899688721,0.6875441626551174,285497.72,300532,53
0.421717,110.75675,2.5765733804236053,1.355509,5.82587310892165,373342.9,144899,54
0.3750032,66.79999,2.2729996121530496,1.4233171939849854,3.487614975431911,295958.2,130206,55
0.12505229,23.732454,1.4675075521674172,0.61515164,1.91696175498029,268156.2,182729,56
0.49283233,90.14739,2.1354106121245837,1.3746688,3.2368652090721177,257173.9,120433,57
0.14643931,6.888981,1.1122254245575762,1.0034534,0.5674551418925681,295701.8,265865,58
0.3076517,12.249945,1.3855835397923513,1.1901021,0.897870575056302,131986.53,95257,59
0.24865606,19.184752,2.476407410686718,2.1702733039855957,1.1337018666950205,272697.03,110118,60
0.398716,11.401459,1.8048644982009185,1.4015038013458252,1.091771731013452,99819.836,55306,61
0.31470242,22.99426,1.4646410129960548,1.0667365,1.3077486383543064,157778.45,107725,62
0.30652973,50.170876,1.7426962320391317,1.228150725364685,2.1787507645303883,205212.94,117756,63
0.2581277,210.79202,2.773311065273574,0.8448408842086792,12.61977780940155,401336.94,144714,64
0.38540086,18.404383,1.3258363761046619,1.0241078,1.0607138581693982,164580.05,124133,65
0.40959713,483.3922,3.1834649166425577,0.9904991984367371,18.650149949425177,352116.7,110608,66
0.32681352,7.594776,0.9390808073109956,0.8102777004241943,0.5456660101519725,177129.42,188620,67
0.28783822,24.005348,1.404710869324694,0.7095879,1.9544438228450303,123787.336,88123,68
