min,max,mean,median,sd,sum,count,id
0.44032025,59.96738,1.0868761717789526,0.8771956,2.0220957714788814,22101.627,20335,0
0.1541871,9.3177395,1.584534603775393,1.117973804473877,1.4628767106715859,33072.406,20872,1
0.30332598,14.273827,1.1080855233800302,0.8000915050506592,1.0792922459424459,20486.285,18488,2
0.13811716,100.22608,3.008725556682011,0.6330975294113159,6.682810687893628,41177.418,13686,3
0.1652113,10.051061,1.6144548782540395,0.962166965007782,2.047863137670005,17985.027,11140,4
0.29321402,5.8170075,0.8634150969885023,0.76920974,0.5447223858320814,11339.23,13133,5
0.069844626,3.3205297,0.2873000730114631,0.23064947128295898,0.24805183963200533,16416.326,57140,6
0.10628903,6.070015,0.6422435552891668,0.5589205026626587,0.3447448121640154,35025.395,54536,7
0.29147518,9.853241,1.96464959740687,1.7275044918060303,1.3166828419796226,29112.178,14818,8
0.19743574,10.602454,2.8516811048834367,2.8217241764068604,1.6823158493268031,30336.184,10638,9
0.10713162,3.9980118,0.4317169212149524,0.3272037208080292,0.3611654391222975,23219.463,53784,10
0.06427383,14.100356,1.2218705937787753,1.0293569564819336,1.2371435301861518,26539.03,21720,11
0.08699465,28.445618,0.5591258012820512,0.28621897,1.2134791278513553,40886.074,73125,12
0.063926175,8.069282,0.6423158390228155,0.49954996,0.5729484714874163,31587.166,49177,13
0.044365115,10.078035,0.26474811994833763,0.20169973,0.3082081482800408,15886.211,60005,14
0.091732234,7.784711,0.7136920260520466,0.3615999221801758,0.8098257585710628,18621.652,26092,15
0.2618282,50.132843,1.3476491929619083,1.1560243368148804,1.2002884109972818,44011.527,32658,16
0.20991679,77.99115,1.6558612419837861,1.249223,3.0659428698117774,27369.73,16529,17
0.08911917,38.864155,0.9896227627526557,0.560623288154602,1.4967750926764216,26830.652,27112,18
0.5971301,120.82476,6.616158621651786,1.7798292636871338,12.336690899088467,23712.312,3584,19
0.069928676,3.732669,0.40914204001413895,0.31374746561050415,0.3171830214343209,22860.402,55874,20
0.07056521,2.341582,0.40555167064074343,0.32564207911491394,0.2699879667832662,23216.21,57246,21
0.33709118,2.8834467,0.9041490334248355,0.8217788934707642,0.3424159716055431,17045.018,18852,22
0.039055817,3.8958898,0.6479688408694388,0.35135582,0.7165082452409841,33425.473,51585,23
0.059017316,2.6559455,0.3566349252856724,0.28433397,0.25685044349984126,30429.875,85325,24
0.11449328,7.6736417,0.418536727537134,0.3273058235645294,0.3486014187279969,19498.79,46588,25
0.06392841,3.5523021,0.2616087193295839,0.20983608,0.17921845224765046,22187.82,84813,26
0.025416356,2.871139,0.5632573005243416,0.40258184,0.5134274438273022,28681.625,50921,27
0.036105014,7.8178716,0.3147144047999361,0.24923095,0.2940804050646346,27583.773,87647,28
0.049120106,1.4480549,0.2909920884989327,0.22495988,0.22132100378438885,32309.143,111031,29
2.9910734,9.656964,7.048771259098544,7.12550687789917,1.3258755273649852,50356.42,7144,30
2.2079935,9.124289,4.410000660909412,4.069750785827637,1.1719000246188689,25022.344,5674,31
0.63723755,7.126075,5.274387886597938,5.3763857,0.841033094612078,38371.17,7275,32
3.6887195,32.150333,7.375276217911319,6.8806643,2.3054014654430643,31603.059,4285,33
4.5321064,8.8001795,6.665722704191213,6.563530445098877,0.738024617606287,27156.154,4074,34
0.2549977,10.325985,4.944255399736887,4.608696937561035,1.8707944041142215,28656.904,5796,35
2.1120925,13.300157,5.7380206565099305,5.4502926,1.4992120259500665,33802.68,5891,36
1.8864323,8.900726,4.111404644947444,4.038597106933594,1.0313610108984148,34420.68,8372,37
1.6147679,7.7048993,4.667966092687075,4.510221004486084,0.8966907002969148,41171.46,8820,38
0.1792094,87.937096,6.790159238542042,6.087328,5.720379962707295,56446.594,8313,39
0.6001117,9.853265,3.7216683059906464,3.383398,1.5997330279464503,50134.594,13471,40
