min,max,mean,median,sd,sum,count,id
0.6091471,26.756771,5.994762961125808,5.039442,5.229796578388919,10197.092,1701,0
0.24853247,2.0450625,0.604339286311609,0.5359637,0.2509990370321301,12420.985,20553,1
0.3264388,21.674217,1.8238933760623495,0.7499986290931702,2.8288182217658147,12125.243,6648,2
3.040043,21.18387,11.212558537463977,10.39188,3.1611328391079514,3890.7578,347,3
11.957475,118.060326,53.82397598870057,56.41771,30.217378640775447,28580.531,531,4
0.5093636,6.660435,1.4789700080648205,1.0419623851776123,1.017014513727482,9799.655,6626,5
0.23488468,14.230849,1.4284301967469535,0.7699247,1.6929398880536977,17465.416,12227,6
0.37301144,13.7303,1.640064409408207,1.0616002082824707,1.5895619570478579,14508.01,8846,7
18.380692,118.69991,54.53493102477478,44.30451,28.6009072769905,30266.887,555,8
0.4977876,7.8590493,1.573687368025815,1.3942980766296387,0.6056384441205628,13228.416,8406,9
0.34397358,8.697943,2.697329599670368,2.7653346,1.0731448787720224,19434.26,7205,10
0.7233547,5.8142614,1.8293641563859435,1.6466567516326904,0.7713519132008728,13456.803,7356,11
0.17634772,9.8280735,0.7263283221375626,0.6310359,0.5804963506784102,18421.865,25363,12
0.4547406,4.4828763,1.1636038954350691,0.99542207,0.6090569526916879,8825.936,7585,13
0.61665934,15.918221,2.5194379387764405,2.1204891204833984,1.62074809349447,27633.195,10968,14
3.0904665,72.74785,15.196583104395604,11.578926,12.264718450050465,20743.336,1365,15
1.8875945,26.677595,8.616628696698761,7.184393405914307,4.922236017435923,25057.156,2908,16
3.4876504,42.293255,12.451978508574006,11.052051,6.911905127072181,17245.99,1385,17
0.523033,23.244701,2.624198401204577,1.5024926662445068,3.3537444650510877,11410.015,4348,18
0.42653272,11.0252,1.2591629245681981,0.8247091770172119,1.3426664110133304,10607.188,8424,19
0.9087088,81.27035,21.722807857034567,16.80947,17.03741137460225,35820.91,1649,20
16.477285,63.299633,32.26869737310247,31.069542,7.775478194221331,17005.604,527,21
82.008934,276.03094,182.3089035560345,182.43124,64.81451704886285,26434.791,145,22
19.473692,197.87973,126.269540168379,141.28675842285156,46.25093457570628,55306.06,438,23
0.93373495,23.052357,11.080312967559848,11.803706,5.214863116560993,10182.808,919,24
64.767815,168.6588,125.40796837439903,141.74459838867188,33.249407000113386,13042.429,104,25
42.522552,96.12816,59.67740652901786,54.525970458984375,12.93074767876204,4177.4185,70,26
28.073637,103.48332,60.74364215489567,57.62201,13.313494943133435,37843.29,623,27
